Poligonal,Ponto,Longitude,Latitude,Distância em km (em relação ao anterior)
2,43,-122.3217773438,45.5305671692,7.7508744485
2,44,-122.3975067139,45.5408401489,6.0080104435
2,45,-122.4699401855,45.5264778137,5.8635855837
2,46,-122.5302658081,45.5313491821,4.7303321798
2,47,-122.5526428223,45.5185241699,2.2522365331
2,48,-122.5740203857,45.5171852112,1.6722277208
2,49,-122.6340408325,45.5183601379,4.6781945137
2,50,-122.6474914551,45.5388565063,2.5084049419
2,51,-122.6717910767,45.5488319397,2.1935034127
3,1,-93.2910385132,45.0681304932,2285.3702312023
3,2,-93.2964324951,45.0149765015,5.9256289181
3,3,-93.2927017212,44.9945220947,2.2932614207
3,4,-93.2957458496,44.9683952332,2.9150238391
3,5,-93.2843551636,44.9609489441,1.220113334
3,6,-93.2673187256,44.9678230286,1.5429815821
4,1,-93.2673187256,44.9678230286,9.49352979660034E-005
4,2,-93.2033233643,44.9659538269,5.0389385539
4,3,-93.1853942871,44.9449729919,2.7263653623
4,4,-93.1743240356,44.9429969788,0.898546332
4,5,-93.09375,44.9561386108,6.5070452514
5,1,-93.3029556274,44.8562736511,19.8688004097
5,2,-93.3049087524,44.8795166016,2.5890775526
5,3,-93.2796783447,44.9007835388,3.0891179475
5,4,-93.2673187256,44.9678230286,7.5176721417
6,1,-93.4337615967,45.0882492065,18.7192614797
6,2,-93.4562911987,45.0537719727,4.2222487201
6,3,-93.4648132324,45.0119361877,4.6998818688
6,4,-93.4643478394,44.9712867737,4.5201567757
6,5,-93.4577484131,44.9248771667,5.1865815855
6,6,-93.4421157837,44.878288269,5.3247565229
6,7,-93.4220199585,44.8651733398,2.1527824385
6,8,-93.3029556274,44.8562736511,9.4363953002
7,1,-93.09375,44.9561386108,19.8688004097
7,2,-93.1367950439,44.9170684814,5.5094397802
7,3,-93.1541137695,44.8558540344,6.9421370972
7,4,-93.2173919678,44.7769317627,10.0958748527
7,5,-93.2828598022,44.7394828796,6.63781027
8,1,-93.3029556274,44.8562736511,13.0829843853
8,2,-93.2839660645,44.8280410767,3.4780617895
8,3,-93.2861938477,44.7759170532,5.7985915167
8,4,-93.2828598022,44.7394828796,4.0598392156
9,1,-106.6557388306,44.3819351196,1059.0487670886
9,2,-106.6912460327,44.3903388977,2.9722777246
9,3,-106.7063674927,44.3845596313,1.3626420082
9,4,-106.7657318115,44.4444618225,8.1607853319
9,5,-106.8253173828,44.5225868225,9.8899353543
9,6,-106.8255081177,44.5577163696,3.9062566645
9,7,-106.833442688,44.5940551758,4.0892734196
9,8,-106.9153518677,44.7082061768,14.2511182662
9,9,-106.9250564575,44.7691612244,6.8210967504
9,10,-106.9322433472,44.8160247803,5.2417594246
9,11,-106.9631652832,44.831325531,2.9735830219
9,12,-106.9908294678,44.8453178406,2.6793081898
9,13,-107.0092086792,44.881893158,4.3172504675
9,14,-107.0264892578,44.907989502,3.2051846628
9,15,-107.0443267822,44.9176330566,1.7671632913
9,16,-107.1110153198,44.9238624573,5.296238355
9,17,-107.1613388062,44.9245147705,3.962664793
9,18,-107.1840515137,44.9276313782,1.8214000176
9,19,-107.2276535034,44.9494247437,4.2012809698
9,20,-107.3048095703,44.9575920105,6.1389910676
9,21,-107.3344345093,44.9956855774,4.8344813958
9,22,-107.3356933594,45.0008125305,0.5786202832
9,23,-107.3546981812,45.0783309937,8.7480478338
9,24,-107.3784103394,45.1257095337,5.587318852
9,25,-107.3736572266,45.1984901428,8.1014102195
9,26,-107.3810653687,45.2426376343,4.9431491925
9,27,-107.3594589233,45.3286590576,9.7133570305
9,28,-107.3767547607,45.3885765076,6.7981866651
9,29,-107.3822937012,45.4981918335,12.1963257888
9,30,-107.435836792,45.5782623291,9.831659803
9,31,-107.4795455933,45.6672782898,10.4655080761
9,32,-107.564994812,45.7410240173,10.5485774853
9,33,-107.6104431152,45.7485160828,3.623758466
9,34,-107.812828064,45.748462677,15.703623713
9,35,-107.8403167725,45.7609596252,2.545455917
9,36,-107.9003829956,45.7830543518,5.2668665413
9,37,-108.2327957153,45.7913894653,25.7915889549
9,38,-108.3060684204,45.8128929138,6.16273541
9,39,-108.4005584717,45.8281745911,7.5168659464
10,1,-93.3219604492,43.6829299927,1212.3433030713
10,2,-93.3122634888,43.7807388306,10.9037184999
10,3,-93.280128479,43.8769035339,10.9993545625
10,4,-93.2782745361,43.92345047,5.1779141906
10,5,-93.2569274902,43.9974517822,8.4040919658
10,6,-93.258972168,44.0922279358,10.5398944832
10,7,-93.2736663818,44.1962394714,11.6248347059
10,8,-93.3141174316,44.2803840637,9.895852278
10,9,-93.3160705566,44.314994812,3.8516773393
10,10,-93.302772522,44.3514137268,4.1854426477
10,11,-93.30052948,44.471031189,13.3020481482
10,12,-93.3082427979,44.6533813477,20.2856188733
10,13,-93.2896728516,44.7004776001,5.4388106594
10,14,-93.2828598022,44.7394828796,4.3704663422
11,1,-93.3219604492,43.6829299927,117.5246419469
11,2,-93.2159194946,43.6659088135,8.735791428
11,3,-93.1793518066,43.6555671692,3.1583909077
11,4,-93.0483932495,43.6569366455,10.5365729425
11,5,-92.9871063232,43.6849136353,5.82883454
11,6,-92.9372634888,43.6757392883,4.135976913
11,7,-92.8756637573,43.6718635559,4.9728920201
11,8,-92.7605438232,43.6729812622,9.2596125866
11,9,-92.7300720215,43.6846427917,2.772435587
11,10,-92.6977844238,43.7122802734,4.0226568605
11,11,-92.5156173706,43.8751106262,23.272584757
11,12,-92.4924621582,43.8829269409,2.0493196964
11,13,-92.3959960938,43.9133262634,8.4360868594
11,14,-92.3665542603,43.9536132813,5.0622230152
11,15,-92.0932312012,43.951499939,21.8810003071
11,16,-92.0324859619,43.9412879944,4.9940205138
11,17,-91.7391738892,43.9283370972,23.5309899924
11,18,-91.658493042,43.9479026794,6.8166428152
11,19,-91.6218490601,43.9138679504,4.7888794338
11,20,-91.5367507935,43.9138374329,6.8166256429
11,21,-91.4227676392,43.9260253906,9.2294996664
11,22,-91.3840484619,43.9042510986,3.9346137256
11,23,-91.3670043945,43.8849105835,2.5475748434
11,24,-91.3391647339,43.8625183105,3.3435644894
11,25,-91.3129043579,43.8533172607,2.3409248451
11,26,-91.2990722656,43.8561592102,1.153233453
11,27,-91.2321243286,43.869884491,5.5800737838
11,28,-91.1839675903,43.8727836609,3.8736908403
11,29,-91.1292495728,43.8661804199,4.4473727357
11,30,-91.0712509155,43.8823699951,4.9853273117
11,31,-90.9803161621,43.8738479614,7.3498611578
11,32,-90.8186187744,43.9133644104,13.6816427548
11,33,-90.7851638794,43.9237174988,2.9164500299
11,34,-90.7713928223,43.9343261719,1.6148510078
11,35,-90.7487945557,43.9486618042,2.4113756818
11,36,-90.5815963745,43.9401130676,13.4199055865
11,37,-90.5048904419,43.9498252869,6.2353941032
11,38,-90.4524917603,43.9734458923,4.948475917
11,39,-90.4411468506,43.9803581238,1.1894748972
12,1,-96.774810791,43.6078147888,509.9233269404
12,2,-96.7757568359,43.634803772,3.0020040471
12,3,-96.7932662964,43.6732025146,4.4961178723
12,4,-96.7862548828,43.8175735474,16.0632035208
12,5,-96.7704544067,43.8646621704,5.3871780404
12,6,-96.7630081177,43.9766273499,12.4642367062
12,7,-96.7605514526,44.3110198975,37.1832715034
12,8,-96.7597351074,44.5643043518,28.1640208978
12,9,-96.8274841309,44.6768302917,13.6128407957
12,10,-96.8900985718,44.7424049377,8.8119344737
